"movie_odid","display_name","territory","release_date","total_box_office","currency","local_box_office","opening_weekend_revenue","opening_weekend_theaters","maximum_theaters","theatrical_engagements","average(High (F))","average(Low (F))","average(Precip (in.))","average(Normal High (F))","average(Normal Low (F))","average(Normal Precip (in.))","Opening Percentage"
346590100,"Dragon Ball Super: Broly","United Kingdom",1/25/19 12:00 AM,3234053,"£ - Pound Sterling",2469846.0,1121881,188,188,291,51.0,40.0,0.02666666666666667,43.333333333333336,35.666666666666664,0.0,34.689629390736634
346890100,"On Her Shoulders","United Kingdom",1/25/19 12:00 AM,4727,"£ - Pound Sterling",3588.0,4727,3,3,3,51.0,40.0,0.02666666666666667,43.333333333333336,35.666666666666664,0.0,100.0
352640100,"Out of Blue","United Kingdom",3/29/19 12:00 AM,224097,"£ - Pound Sterling",176140.0,91280,46,46,118,58.0,34.666666666666664,0.0,51.0,39.0,0.0,40.73236143277242
353960100,"Maiden","United Kingdom",3/8/19 12:00 AM,120785,"£ - Pound Sterling",95710.0,58908,16,18,57,48.333333333333336,38.333333333333336,0.13333333333333333,47.666666666666664,36.666666666666664,0.0,48.77095665852548
355580100,"Bergman - ett år, ett liv","United Kingdom",1/25/19 12:00 AM,5796,"£ - Pound Sterling",4399.0,5796,4,4,4,51.0,40.0,0.02666666666666667,43.333333333333336,35.666666666666664,0.0,100.0
361040100,"Girl","United Kingdom",3/15/19 12:00 AM,31729,"£ - Pound Sterling",23895.0,31729,24,24,24,53.333333333333336,45.333333333333336,0.14666666666666667,48.666666666666664,37.333333333333336,0.0,100.0
362930100,"Stan & Ollie","United Kingdom",1/11/19 12:00 AM,13619819,"£ - Pound Sterling",1.0533568E7,3310022,654,679,3408,47.0,39.333333333333336,0.006666666666666667,43.333333333333336,35.666666666666664,0.0033333333333333335,24.30298082522242
363020100,"Ray & Liz","United Kingdom",3/8/19 12:00 AM,58562,"£ - Pound Sterling",45040.0,21384,13,17,48,48.333333333333336,38.333333333333336,0.13333333333333333,47.666666666666664,36.666666666666664,0.0,36.515146340630444
365120100,"Sauvage","United Kingdom",3/1/19 12:00 AM,28519,"£ - Pound Sterling",21569.0,28519,14,14,14,53.0,44.666666666666664,0.0,46.666666666666664,36.333333333333336,0.06333333333333334,100.0
371640100,"Sharkwater Extinction","United Kingdom",3/22/19 12:00 AM,1713,"£ - Pound Sterling",1296.0,1713,4,4,4,53.0,46.333333333333336,0.006666666666666667,50.0,38.333333333333336,0.0,100.0
372130100,"Un peuple et son roi","United Kingdom",1/25/19 12:00 AM,4018,"£ - Pound Sterling",3050.0,4018,1,1,1,51.0,40.0,0.02666666666666667,43.333333333333336,35.666666666666664,0.0,100.0
373370100,"The Hole in the Ground","United Kingdom",3/1/19 12:00 AM,127467,"£ - Pound Sterling",96403.0,127467,140,140,140,53.0,44.666666666666664,0.0,46.666666666666664,36.333333333333336,0.06333333333333334,100.0
373390100,"Piercing","United Kingdom",2/15/19 12:00 AM,449,"£ - Pound Sterling",349.0,449,2,2,2,56.666666666666664,37.0,0.0,44.0,35.666666666666664,0.0,100.0
373840100,"Cold Pursuit","United Kingdom",2/22/19 12:00 AM,2268489,"£ - Pound Sterling",1743561.0,825123,417,417,1113,60.0,43.666666666666664,0.0,45.0,35.666666666666664,0.0,36.373242277128085
375520100,"All is True","United Kingdom",2/8/19 12:00 AM,1313073,"£ - Pound Sterling",1042055.0,345017,252,252,742,51.666666666666664,42.333333333333336,0.15666666666666668,43.666666666666664,35.666666666666664,0.0,26.275538374484892
375800100,"Die Legende vom hässlichen König","United Kingdom",2/1/19 12:00 AM,458,"£ - Pound Sterling",350.0,458,4,4,4,37.666666666666664,29.666666666666668,0.12,43.666666666666664,35.666666666666664,0.08666666666666667,100.0
380780100,"Un amour impossible","United Kingdom",1/4/19 12:00 AM,19809,"£ - Pound Sterling",15548.0,19809,12,12,12,40.333333333333336,34.333333333333336,0.0,43.666666666666664,35.666666666666664,0.0033333333333333335,100.0
389060100,"Gully Boy","United Kingdom",2/15/19 12:00 AM,344014,"£ - Pound Sterling",267574.0,344014,66,66,66,56.666666666666664,37.0,0.0,44.0,35.666666666666664,0.0,100.0
390160100,"Andre Rieu's Sydney Town Hall Concert - An Australian Celebration","United Kingdom",1/4/19 12:00 AM,2224412,"£ - Pound Sterling",1745941.0,2224412,570,570,570,40.333333333333336,34.333333333333336,0.0,43.666666666666664,35.666666666666664,0.0033333333333333335,100.0
390320100,"Politseyskiy s Rublyovki. Novogodniy bespredel","United Kingdom",1/25/19 12:00 AM,8567,"£ - Pound Sterling",6502.0,8567,1,1,1,51.0,40.0,0.02666666666666667,43.333333333333336,35.666666666666664,0.0,100.0
390950100,"K.G.F: Chapter 1","United Kingdom",1/4/19 12:00 AM,27081,"£ - Pound Sterling",21256.0,27081,42,42,42,40.333333333333336,34.333333333333336,0.0,43.666666666666664,35.666666666666664,0.0033333333333333335,100.0
390960100,"Njan Prakashan","United Kingdom",1/4/19 12:00 AM,34109,"£ - Pound Sterling",26772.0,34109,28,28,28,40.333333333333336,34.333333333333336,0.0,43.666666666666664,35.666666666666664,0.0033333333333333335,100.0
391800100,"Zabawa, Zabawa","United Kingdom",1/4/19 12:00 AM,39302,"£ - Pound Sterling",30848.0,39302,106,106,106,40.333333333333336,34.333333333333336,0.0,43.666666666666664,35.666666666666664,0.0033333333333333335,100.0
391810100,"King of Boys","United Kingdom",1/4/19 12:00 AM,34760,"£ - Pound Sterling",27283.0,34760,4,4,4,40.333333333333336,34.333333333333336,0.0,43.666666666666664,35.666666666666664,0.0033333333333333335,100.0
391820100,"Fantastica","United Kingdom",1/4/19 12:00 AM,6764,"£ - Pound Sterling",5309.0,6764,3,3,3,40.333333333333336,34.333333333333336,0.0,43.666666666666664,35.666666666666664,0.0033333333333333335,100.0
392090100,"Uri: The Surgical Strike","United Kingdom",1/11/19 12:00 AM,63822,"£ - Pound Sterling",49724.0,63822,26,26,26,47.0,39.333333333333336,0.006666666666666667,43.333333333333336,35.666666666666664,0.0033333333333333335,100.0
392140100,"The Accidental Prime Minister","United Kingdom",1/11/19 12:00 AM,23424,"£ - Pound Sterling",18250.0,23424,12,12,12,47.0,39.333333333333336,0.006666666666666667,43.333333333333336,35.666666666666664,0.0033333333333333335,100.0
392160100,"Do Dooni Panj","United Kingdom",1/11/19 12:00 AM,9157,"£ - Pound Sterling",7134.0,9157,7,7,7,47.0,39.333333333333336,0.006666666666666667,43.333333333333336,35.666666666666664,0.0033333333333333335,100.0
392180100,"Petta","United Kingdom",1/11/19 12:00 AM,375474,"£ - Pound Sterling",292532.0,375474,63,63,63,47.0,39.333333333333336,0.006666666666666667,43.333333333333336,35.666666666666664,0.0033333333333333335,100.0
392210100,"Viswasam","United Kingdom",1/11/19 12:00 AM,125807,"£ - Pound Sterling",98016.0,125807,29,29,29,47.0,39.333333333333336,0.006666666666666667,43.333333333333336,35.666666666666664,0.0033333333333333335,100.0
393040100,"Island of the Hungry Ghosts","United Kingdom",1/11/19 12:00 AM,9300,"£ - Pound Sterling",7246.0,9300,9,9,9,47.0,39.333333333333336,0.006666666666666667,43.333333333333336,35.666666666666664,0.0033333333333333335,100.0
393050100,"Met Opera: Adriana Lecouvreur","United Kingdom",1/11/19 12:00 AM,236760,"£ - Pound Sterling",184460.0,236760,204,204,204,47.0,39.333333333333336,0.006666666666666667,43.333333333333336,35.666666666666664,0.0033333333333333335,100.0
393270100,"Underdog","United Kingdom",1/18/19 12:00 AM,367598,"£ - Pound Sterling",284999.0,367598,242,242,242,41.333333333333336,30.0,0.02666666666666667,43.333333333333336,35.666666666666664,0.0,100.0
393370100,"Kaka Ji","United Kingdom",1/18/19 12:00 AM,10055,"£ - Pound Sterling",7796.0,10055,8,8,8,41.333333333333336,30.0,0.02666666666666667,43.333333333333336,35.666666666666664,0.0,100.0
393780100,"Total Dhamaal","United Kingdom",2/22/19 12:00 AM,327455,"£ - Pound Sterling",250601.0,327455,81,81,81,60.0,43.666666666666664,0.0,45.0,35.666666666666664,0.0,100.0
393810100,"Bolshoi Ballet: La Bayadere","United Kingdom",1/18/19 12:00 AM,176217,"£ - Pound Sterling",136621.0,176217,156,156,156,41.333333333333336,30.0,0.02666666666666667,43.333333333333336,35.666666666666664,0.0,100.0
393820100,"Hey Duggee at the Cinema","United Kingdom",1/18/19 12:00 AM,316425,"£ - Pound Sterling",102427.0,87285,88,88,1026,41.333333333333336,30.0,0.02666666666666667,43.333333333333336,35.666666666666664,0.0,27.58473571936478
393850100,"Ek Ladki Ko Dekhah Toh Aisa Laga","United Kingdom",2/1/19 12:00 AM,166766,"£ - Pound Sterling",127359.0,166766,60,60,60,37.666666666666664,29.666666666666668,0.12,43.666666666666664,35.666666666666664,0.08666666666666667,100.0
394110100,"Diablo","United Kingdom",2/1/19 12:00 AM,39825,"£ - Pound Sterling",30414.0,39825,120,120,120,37.666666666666664,29.666666666666668,0.12,43.666666666666664,35.666666666666664,0.08666666666666667,100.0
394120100,"Flotten","United Kingdom",1/18/19 12:00 AM,7605,"£ - Pound Sterling",5896.0,7605,4,4,4,41.333333333333336,30.0,0.02666666666666667,43.333333333333336,35.666666666666664,0.0,100.0
394130100,"Jack Em Popoy: The Puliscredibles","United Kingdom",1/18/19 12:00 AM,6040,"£ - Pound Sterling",4683.0,6040,3,3,3,41.333333333333336,30.0,0.02666666666666667,43.333333333333336,35.666666666666664,0.0,100.0
394140100,"London Unplugged","United Kingdom",1/18/19 12:00 AM,9468,"£ - Pound Sterling",7277.0,1985,1,1,6,41.333333333333336,30.0,0.02666666666666667,43.333333333333336,35.666666666666664,0.0,20.96535699197296
394190100,"BTS World Tour: Love Yourself in Seoul","United Kingdom",1/25/19 12:00 AM,683544,"£ - Pound Sterling",518810.0,683544,291,291,291,51.0,40.0,0.02666666666666667,43.333333333333336,35.666666666666664,0.0,100.0
394310100,"Manikarnika: The Queen Of Jhansi","United Kingdom",1/25/19 12:00 AM,5942,"£ - Pound Sterling",4510.0,5942,6,6,6,51.0,40.0,0.02666666666666667,43.333333333333336,35.666666666666664,0.0,100.0
394380100,"Babushka lyogkogo povedeniya - 2","United Kingdom",2/15/19 12:00 AM,3975,"£ - Pound Sterling",3092.0,3975,6,6,6,56.666666666666664,37.0,0.0,44.0,35.666666666666664,0.0,100.0
394790100,"Northern Ballet Bite Sized Ballets: Tortoise & the Hare","United Kingdom",1/25/19 12:00 AM,41237,"£ - Pound Sterling",31633.0,22572,153,153,221,51.0,40.0,0.02666666666666667,43.333333333333336,35.666666666666664,0.0,54.73725052743895
394800100,"Love Sonia","United Kingdom",1/25/19 12:00 AM,6022,"£ - Pound Sterling",4571.0,6022,13,13,13,51.0,40.0,0.02666666666666667,43.333333333333336,35.666666666666664,0.0,100.0
395030100,"Misz masz, czyli kogel-mogel 3","United Kingdom",3/15/19 12:00 AM,222992,"£ - Pound Sterling",167935.0,222992,137,137,137,53.333333333333336,45.333333333333336,0.14666666666666667,48.666666666666664,37.333333333333336,0.0,100.0
395140100,"Uda Aida","United Kingdom",2/1/19 12:00 AM,19738,"£ - Pound Sterling",15074.0,19738,10,10,10,37.666666666666664,29.666666666666668,0.12,43.666666666666664,35.666666666666664,0.08666666666666667,100.0
395150100,"Vantha Rajavathaan Varuven","United Kingdom",2/1/19 12:00 AM,18904,"£ - Pound Sterling",14437.0,18904,32,32,32,37.666666666666664,29.666666666666668,0.12,43.666666666666664,35.666666666666664,0.08666666666666667,100.0
395190100,"Irupathiyonnaam Noottaandu","United Kingdom",2/8/19 12:00 AM,2469,"£ - Pound Sterling",1909.0,2469,20,20,20,51.666666666666664,42.333333333333336,0.15666666666666668,43.666666666666664,35.666666666666664,0.0,100.0
395590100,"Lian Zheng Feng Yun","United Kingdom",2/8/19 12:00 AM,8702,"£ - Pound Sterling",6728.0,8702,14,14,14,51.666666666666664,42.333333333333336,0.15666666666666668,43.666666666666664,35.666666666666664,0.0,100.0
395700100,"Met Opera: Carmen","United Kingdom",2/1/19 12:00 AM,384256,"£ - Pound Sterling",293456.0,384256,209,209,209,37.666666666666664,29.666666666666668,0.12,43.666666666666664,35.666666666666664,0.08666666666666667,100.0
396120100,"Fei Chi Ren Sheng","United Kingdom",2/8/19 12:00 AM,95797,"£ - Pound Sterling",74070.0,95797,15,15,15,51.666666666666664,42.333333333333336,0.15666666666666668,43.666666666666664,35.666666666666664,0.0,100.0
396160100,"Amavas","United Kingdom",2/8/19 12:00 AM,3113,"£ - Pound Sterling",2407.0,3113,4,4,4,51.666666666666664,42.333333333333336,0.15666666666666668,43.666666666666664,35.666666666666664,0.0,100.0
396380100,"Anoche","United Kingdom",2/1/19 12:00 AM,13703,"£ - Pound Sterling",10465.0,9927,21,21,21,37.666666666666664,29.666666666666668,0.12,43.666666666666664,35.666666666666664,0.08666666666666667,72.44399036707291
396520100,"Cellar Door","United Kingdom",2/1/19 12:00 AM,2158,"£ - Pound Sterling",1648.0,2158,1,1,1,37.666666666666664,29.666666666666668,0.12,43.666666666666664,35.666666666666664,0.08666666666666667,100.0
396710100,"Anandi Gopal","United Kingdom",3/1/19 12:00 AM,2605,"£ - Pound Sterling",1970.0,2605,9,9,9,53.0,44.666666666666664,0.0,46.666666666666664,36.333333333333336,0.06333333333333334,100.0
396800100,"Peranbu","United Kingdom",2/8/19 12:00 AM,3414,"£ - Pound Sterling",2640.0,3414,4,4,4,51.666666666666664,42.333333333333336,0.15666666666666668,43.666666666666664,35.666666666666664,0.0,100.0
