"movie_odid","display_name","release_date","total_box_office","local_box_office","opening_weekend_revenue","opening_weekend_theaters","average(High (F))","average(Low (F))","average(Precip (in.))","average(Normal High (F))","average(Normal Low (F))","average(Normal Precip (in.))","Opening Percentage"
364500100,"Werk ohne Autor",1/18/19 12:00 AM,20381,17994.0,7614,16,52.0,42.0,0.105,56.0,43.0,0.005,37.3583239291497
366330100,"Rosie",3/15/19 12:00 AM,12386,10889.0,6929,16,67.5,41.5,0.0,60.5,47.0,0.0,55.94219279832069
368830100,"Jiang hu er nv",3/1/19 12:00 AM,22675,20194.0,5893,6,61.5,49.0,0.0,59.5,45.5,0.155,25.988974641675856
369280100,"Here and Now",1/4/19 12:00 AM,11559,10070.0,6495,10,57.5,41.0,0.0,56.0,43.5,0.005,56.18998183233844
370730100,"Backtrace",3/1/19 12:00 AM,34248,30237.0,13428,17,61.5,49.0,0.0,59.5,45.5,0.155,39.208128941836016
372130100,"Un peuple et son roi",3/22/19 12:00 AM,16419,14638.0,8049,11,67.5,47.5,0.0,61.5,47.5,0.0,49.02247396309154
372340100,"The Possession of Hannah Grace",2/7/19 12:00 AM,290007,257062.0,85039,29,59.5,46.0,0.0,57.0,44.0,0.0,29.32308530483747
373840100,"Cold Pursuit",2/8/19 12:00 AM,699641,620162.0,238383,69,58.5,45.0,0.045,57.5,44.0,0.005,34.07218845093412
374280100,"Kursk",3/29/19 12:00 AM,95757,85147.0,32580,31,71.5,48.5,0.0,62.5,48.5,0.0,34.02362229393152
374700100,"Uma Vida Sublime",1/25/19 12:00 AM,6604,5790.0,2643,5,65.0,46.0,0.0,56.5,43.0,0.0,40.02119927316778
378140100,"Triple Threat",3/29/19 12:00 AM,5668,5053.0,3484,8,71.5,48.5,0.0,62.5,48.5,0.0,61.46788990825688
386990100,"Mauvaises herbes",3/1/19 12:00 AM,9496,8446.0,4715,5,61.5,49.0,0.0,59.5,45.5,0.155,49.6524852569503
387010100,"Les bonnes intentions",3/8/19 12:00 AM,4826,4261.0,2122,5,60.5,47.5,0.015,59.5,46.5,0.005,43.97016162453377
388150100,"Astérix: Le secret de la potion magique",1/11/19 12:00 AM,687181,616333.0,141359,86,55.0,41.5,0.0,56.0,43.0,0.0,20.570853967149848
389060100,"Gully Boy",2/15/19 12:00 AM,2307,2034.0,1847,2,64.5,48.5,0.0,58.0,44.0,0.005,80.0606848721283
391480100,"Mia et le lion blanc",2/8/19 12:00 AM,46897,41809.0,16109,23,58.5,45.0,0.045,57.5,44.0,0.005,34.34974518625925
393020100,"Terra Franca",1/11/19 12:00 AM,13014,11490.0,3294,8,55.0,41.5,0.0,56.0,43.0,0.0,25.311203319502074
393780100,"Total Dhamaal",2/23/19 12:00 AM,4793,4213.0,940,1,71.0,49.0,0.0,59.0,44.5,0.0,19.611934070519506
393790100,"Tiro e Queda",1/18/19 12:00 AM,259545,234213.0,108515,45,52.0,42.0,0.105,56.0,43.0,0.005,41.80970544606908
393800100,"Os Dois Irmãos",1/18/19 12:00 AM,789,694.0,789,8,52.0,42.0,0.105,56.0,43.0,0.005,100.0
394310100,"Manikarnika: The Queen Of Jhansi",1/26/19 12:00 AM,2208,1936.0,2208,3,63.5,45.0,0.0,56.5,43.0,0.005,100.0
394360100,"Debaixo do Céu",1/25/19 12:00 AM,4654,4130.0,1174,1,65.0,46.0,0.0,56.5,43.0,0.0,25.225612376450364
395140100,"Uda Aida",2/2/19 12:00 AM,877,769.0,877,2,54.0,42.5,0.09,57.0,43.5,0.0,100.0
397570100,"Dead Trigger",2/22/19 12:00 AM,5432,4775.0,3607,19,70.5,49.5,0.0,59.0,44.5,0.005,66.40279823269513
398710100,"Portugal Não Está à Venda",2/22/19 12:00 AM,33134,29542.0,12540,18,70.5,49.5,0.0,59.0,44.5,0.005,37.84632099957747
399470100,"A Portuguesa",3/1/19 12:00 AM,7982,7117.0,1244,1,61.5,49.0,0.0,59.5,45.5,0.155,15.585066399398647
399480100,"Imagens Proibidas",3/1/19 12:00 AM,987,867.0,987,18,61.5,49.0,0.0,59.5,45.5,0.155,100.0
400340100,"SNU",3/8/19 12:00 AM,483564,433080.0,89506,49,60.5,47.5,0.015,59.5,46.5,0.005,18.509649188111606
401220100,"Ladrões de Tuta e Meia",3/15/19 12:00 AM,143705,128831.0,46437,49,67.5,41.5,0.0,60.5,47.0,0.0,32.31411572318291
401230100,"Marnies Welt",3/15/19 12:00 AM,33058,29471.0,14017,44,67.5,41.5,0.0,60.5,47.0,0.0,42.401234194446126
402150100,"Welcome to Acapulco",3/22/19 12:00 AM,10876,9686.0,6683,11,67.5,47.5,0.0,61.5,47.5,0.0,61.447223243839645
402370100,"Gabriel",3/22/19 12:00 AM,65372,57828.0,27853,29,67.5,47.5,0.0,61.5,47.5,0.0,42.606926512880136
403590100,"The Kamagasaki Cauldron War",3/29/19 12:00 AM,460,410.0,460,1,71.5,48.5,0.0,62.5,48.5,0.0,100.0
